source_file,source_path,ID,Block,Condition,trial,clicked_name_column,time_column,internal_column_block,block_header_matches_filename,raw_clicked_names,raw_times,raw_name_count,raw_timestamp_count,first_timestamp,early_artifact_found,removed_movement,adjustment_rule,adjusted_name_count,adjusted_timestamp_count,unmatched_timestamps,names_without_timestamps,raw_arm,raw_head,raw_leg,raw_other,arm,head,leg,other,total,extraction_valid,audit_status,audit_issue
SA09OR12_B_HB.csv,data/s_files/psychopy/SA09OR12_B_HB.csv,SA09OR12,B,HB,04,Klicks_Block_B_04.clicked_name,Klicks_Block_B_04.time,B,TRUE,['Head_Block_B_04'],"[0.0004634000360965729, 46.51738029997796]",1,2,4.6340003609657e-4,TRUE,NA,removed early timestamp; retained all movement names,1,1,0,0,0,1,0,0,0,1,0,0,1,TRUE,OK,
SI21ÜR22_A_HB.csv,data/s_files/psychopy/SI21ÜR22_A_HB.csv,SI21ÜR22,A,HB,01,Klicks_Block_A_01.clicked_name,Klicks_Block_A_01.time,A,TRUE,"['Arms_Block_A_01', 'Arms_Block_A_01', 'Head_Block_A_01', 'Other_Block_A_01', 'Arms_Block_A_01', 'Arms_Block_A_01', 'Other_Block_A_01', 'Arms_Block_A_01', 'Arms_Block_A_01', 'Legs_Block_A_01', 'Other_Block_A_01', 'Other_Block_A_01']","[0.0024345999117940664, 31.85211080010049, 43.0489443000406, 77.86952359997667, 86.03293260000646, 90.18363919993863, 137.38222500006668, 140.14800169994123, 148.34616050007753, 152.5108394001145, 162.39183899993077, 193.94670050009154]",12,12,0.00243459991179406,TRUE,arm,removed early timestamp and paired first movement,11,11,0,0,6,1,1,4,5,1,1,4,11,TRUE,OK,
SI21ÜR22_A_HB.csv,data/s_files/psychopy/SI21ÜR22_A_HB.csv,SI21ÜR22,A,HB,02,Klicks_Block_A_02.clicked_name,Klicks_Block_A_02.time,A,TRUE,"['Legs_Block_A_02', 'Head_Block_A_02', 'Arms_Block_A_02', 'Head_Block_A_02', 'Other_Block_A_02', 'Other_Block_A_02', 'Other_Block_A_02', 'Other_Block_A_02', 'Arms_Block_A_02', 'Other_Block_A_02', 'Other_Block_A_02', 'Other_Block_A_02', 'Head_Block_A_02', 'Head_Block_A_02', 'Other_Block_A_02', 'Head_Block_A_02', 'Head_Block_A_02', 'Arms_Block_A_02', 'Arms_Block_A_02']","[0.0011269000824540854, 22.57509719999507, 24.574029800016433, 30.821717499988154, 35.8703022999689, 44.83514579990879, 58.04624089994468, 74.22462189989164, 80.27278380002826, 84.35339149995707, 97.86730520008132, 106.8128885999322, 109.54627249995247, 131.18797670002095, 141.01874540001154, 145.56647580000572, 154.0633080000989, 187.8860496999696, 189.63469560001977]",19,19,0.00112690008245408,TRUE,leg,removed early timestamp and paired first movement,18,18,0,0,4,6,1,8,4,6,0,8,18,TRUE,OK,
SI21ÜR22_A_HB.csv,data/s_files/psychopy/SI21ÜR22_A_HB.csv,SI21ÜR22,A,HB,03,Klicks_Block_A_03.clicked_name,Klicks_Block_A_03.time,A,TRUE,"['Arms_Block_A_03', 'Head_Block_A_03', 'Other_Block_A_03', 'Other_Block_A_03', 'Arms_Block_A_03', 'Other_Block_A_03', 'Head_Block_A_03', 'Legs_Block_A_03', 'Legs_Block_A_03', 'Arms_Block_A_03', 'Other_Block_A_03', 'Arms_Block_A_03', 'Head_Block_A_03', 'Head_Block_A_03', 'Arms_Block_A_03', 'Other_Block_A_03', 'Arms_Block_A_03', 'Arms_Block_A_03', 'Head_Block_A_03', 'Legs_Block_A_03', 'Other_Block_A_03', 'Head_Block_A_03', 'Other_Block_A_03', 'Other_Block_A_03', 'Other_Block_A_03', 'Arms_Block_A_03', 'Arms_Block_A_03', 'Arms_Block_A_03', 'Head_Block_A_03']","[0.002271000063046813, 10.319134300108999, 13.752636400051415, 21.34979510004632, 35.74590740003623, 37.14363980013877, 43.85851399996318, 45.52410070016049, 56.05498500005342, 57.722635300131515, 66.46717249997891, 98.60878939996473, 100.30685480008833, 107.57165910000913, 109.02042150008492, 114.351070899982, 118.21646820008755, 146.2732836001087, 157.03633829997852, 159.07083450001664, 161.4709012999665, 164.00152739998884, 165.8766406001523, 177.52955600013956, 181.87951590004377, 185.27799960016273, 187.12653710017912, 191.7749208000023, 198.63937210012227]",29,29,0.00227100006304681,TRUE,arm,removed early timestamp and paired first movement,28,28,0,0,10,7,3,9,9,7,3,9,28,TRUE,OK,
SI21ÜR22_A_HB.csv,data/s_files/psychopy/SI21ÜR22_A_HB.csv,SI21ÜR22,A,HB,04,Klicks_Block_A_04.clicked_name,Klicks_Block_A_04.time,A,TRUE,"['Legs_Block_A_04', 'Other_Block_A_04', 'Other_Block_A_04', 'Arms_Block_A_04', 'Head_Block_A_04', 'Arms_Block_A_04', 'Head_Block_A_04', 'Arms_Block_A_04', 'Legs_Block_A_04', 'Other_Block_A_04', 'Other_Block_A_04', 'Head_Block_A_04', 'Arms_Block_A_04', 'Head_Block_A_04', 'Arms_Block_A_04', 'Legs_Block_A_04', 'Arms_Block_A_04', 'Arms_Block_A_04', 'Arms_Block_A_04', 'Other_Block_A_04', 'Arms_Block_A_04', 'Arms_Block_A_04', 'Arms_Block_A_04', 'Arms_Block_A_04', 'Arms_Block_A_04', 'Arms_Block_A_04', 'Arms_Block_A_04', 'Legs_Block_A_04', 'Arms_Block_A_04', 'Legs_Block_A_04', 'Arms_Block_A_04', 'Other_Block_A_04', 'Arms_Block_A_04']","[0.0023576999083161354, 10.578116100048646, 31.58289030008018, 32.83239210001193, 34.4490515999496, 36.14937989995815, 44.76200659992173, 53.62627839995548, 55.49173970008269, 56.84228219999932, 68.1039054999128, 69.76994549995288, 70.87237080000341, 82.26644290005788, 83.26577949989587, 94.66279019997455, 98.44440419995226, 111.69497229997069, 119.55397709994577, 121.43764999997802, 128.41788109997287, 134.4316179000307, 151.49321969994344, 154.62557750009, 171.00648300000466, 172.81894999998622, 185.13186930003576, 186.94748390000314, 189.6162785999477, 192.66198790003546, 195.6948076998815, 200.57749999989755, 203.30857799993828]",33,33,0.00235769990831613,TRUE,leg,removed early timestamp and paired first movement,32,32,0,0,18,4,5,6,18,4,4,6,32,TRUE,OK,
SI21ÜR22_B_LB.csv,data/s_files/psychopy/SI21ÜR22_B_LB.csv,SI21ÜR22,B,LB,01,Klicks_Block_B_01.clicked_name,Klicks_Block_B_01.time,B,TRUE,"['Legs_Block_B_01', 'Head_Block_B_01', 'Arms_Block_B_01', 'Other_Block_B_01', 'Arms_Block_B_01', 'Arms_Block_B_01', 'Arms_Block_B_01', 'Head_Block_B_01', 'Other_Block_B_01', 'Legs_Block_B_01', 'Arms_Block_B_01', 'Arms_Block_B_01', 'Arms_Block_B_01', 'Other_Block_B_01', 'Arms_Block_B_01', 'Legs_Block_B_01', 'Legs_Block_B_01', 'Arms_Block_B_01', 'Arms_Block_B_01']","[0.0022029001265764236, 17.607782500097528, 22.53992459992878, 24.388620200101286, 47.06564379995689, 57.76075730007142, 68.09033549996093, 72.75682320003398, 73.95525930006988, 97.36693429993466, 99.18204370001331, 124.80526009993628, 126.88750900002196, 158.161370200105, 159.50961420009844, 180.3869805999566, 182.46875300002284, 187.11886049993336, 196.51397530012764]",19,19,0.00220290012657642,TRUE,leg,removed early timestamp and paired first movement,18,18,0,0,10,2,4,3,10,2,3,3,18,TRUE,OK,
SI21ÜR22_B_LB.csv,data/s_files/psychopy/SI21ÜR22_B_LB.csv,SI21ÜR22,B,LB,02,Klicks_Block_B_02.clicked_name,Klicks_Block_B_02.time,B,TRUE,"['Arms_Block_B_02', 'Other_Block_B_02', 'Arms_Block_B_02', 'Arms_Block_B_02', 'Legs_Block_B_02', 'Arms_Block_B_02', 'Head_Block_B_02', 'Other_Block_B_02', 'Other_Block_B_02', 'Arms_Block_B_02', 'Arms_Block_B_02', 'Head_Block_B_02', 'Arms_Block_B_02', 'Other_Block_B_02']","[0.0023632000666111708, 8.959847599966452, 11.29239990003407, 24.105751800118014, 42.782462999923155, 43.932423300109804, 45.63097870000638, 47.715813799994066, 99.71298650000244, 107.4603995999787, 116.67568779992871, 118.62413859996013, 147.43016889994033, 191.72017080010846]",14,14,0.00236320006661117,TRUE,arm,removed early timestamp and paired first movement,13,13,0,0,7,2,1,4,6,2,1,4,13,TRUE,OK,
SI21ÜR22_B_LB.csv,data/s_files/psychopy/SI21ÜR22_B_LB.csv,SI21ÜR22,B,LB,03,Klicks_Block_B_03.clicked_name,Klicks_Block_B_03.time,B,TRUE,"['Head_Block_B_03', 'Arms_Block_B_03', 'Head_Block_B_03', 'Head_Block_B_03', 'Other_Block_B_03', 'Legs_Block_B_03', 'Arms_Block_B_03', 'Other_Block_B_03', 'Other_Block_B_03', 'Head_Block_B_03', 'Other_Block_B_03', 'Head_Block_B_03', 'Arms_Block_B_03', 'Head_Block_B_03', 'Legs_Block_B_03', 'Other_Block_B_03', 'Arms_Block_B_03', 'Other_Block_B_03', 'Other_Block_B_03', 'Arms_Block_B_03', 'Head_Block_B_03', 'Other_Block_B_03']","[0.0033730000723153353, 10.038361700018868, 14.785865999991074, 37.6441163001582, 39.44401470012963, 42.342268500011414, 49.14002469996922, 53.156501500168815, 65.25188000011258, 68.16716940002516, 80.47965930006467, 93.64262449997477, 107.77347000013106, 110.01938199996948, 117.58348240004852, 131.7631163999904, 145.45792960003018, 148.22531590005383, 161.30294490000233, 165.76798080001026, 167.20084680011496, 172.5496223999653]",22,22,0.00337300007231533,TRUE,head,removed early timestamp and paired first movement,21,21,0,0,5,7,2,8,5,6,2,8,21,TRUE,OK,
SI21ÜR22_B_LB.csv,data/s_files/psychopy/SI21ÜR22_B_LB.csv,SI21ÜR22,B,LB,04,Klicks_Block_B_04.clicked_name,Klicks_Block_B_04.time,B,TRUE,"['Legs_Block_B_04', 'Other_Block_B_04', 'Arms_Block_B_04', 'Arms_Block_B_04', 'Legs_Block_B_04', 'Arms_Block_B_04', 'Head_Block_B_04', 'Arms_Block_B_04', 'Other_Block_B_04', 'Other_Block_B_04', 'Other_Block_B_04', 'Head_Block_B_04', 'Arms_Block_B_04', 'Other_Block_B_04', 'Legs_Block_B_04', 'Arms_Block_B_04', 'Arms_Block_B_04', 'Other_Block_B_04', 'Arms_Block_B_04', 'Arms_Block_B_04', 'Other_Block_B_04']","[0.002305000089108944, 15.429396300110966, 17.887443700106815, 23.568868200061843, 39.280304100131616, 40.36294090002775, 46.49578470014967, 48.54367500008084, 56.87675520009361, 67.38746090000495, 88.33228350011632, 99.67869710014202, 106.14185080002062, 110.80778210004792, 116.6573002000805, 129.59986310009845, 155.8948961000424, 179.60018620011397, 181.28266620007344, 207.0738516000565, 209.04018740006723]",21,21,0.00230500008910894,TRUE,leg,removed early timestamp and paired first movement,20,20,0,0,9,2,3,7,9,2,2,7,20,TRUE,OK,
SI22IE06_A_LB.csv,data/s_files/psychopy/SI22IE06_A_LB.csv,SI22IE06,A,LB,01,Klicks_Block_A_01.clicked_name,Klicks_Block_A_01.time,A,TRUE,['Other_Block_A_01'],[0.0013576000001194188],1,1,0.00135760000011941,TRUE,other,removed early timestamp and paired first movement,0,0,0,0,0,0,0,1,0,0,0,0,0,TRUE,OK,
