ID,Condition,trial_order,baseline_effort,Trial,Effort
SI21UR22,HB,HB_LB,0,3,4
SI21UR22,HB,HB_LB,0,4,4
SI21UR22,LB,HB_LB,3,1,5
SI21UR22,LB,HB_LB,3,2,4
SI21UR22,LB,HB_LB,3,3,5
SI21UR22,LB,HB_LB,3,4,4
SI22IE06,HB,LB_HB,3,1,3
SI22IE06,HB,LB_HB,3,2,4
SI22IE06,HB,LB_HB,3,3,5
SI22IE06,HB,LB_HB,3,4,5
SI22IE06,LB,LB_HB,3,1,3
SI22IE06,LB,LB_HB,3,2,4
SI22IE06,LB,LB_HB,3,3,4
SI22IE06,LB,LB_HB,3,4,4
TA17ER04,HB,LB_HB,1,1,2
TA17ER04,HB,LB_HB,1,2,5
TA17ER04,HB,LB_HB,1,3,6
TA17ER04,HB,LB_HB,1,4,4
TA17ER04,LB,LB_HB,0,1,5
TA17ER04,LB,LB_HB,0,2,3
TA17ER04,LB,LB_HB,0,3,3
TA17ER04,LB,LB_HB,0,4,5
UL01RL21,HB,HB_LB,0,1,0
UL01RL21,HB,HB_LB,0,2,0
UL01RL21,HB,HB_LB,0,3,0
UL01RL21,HB,HB_LB,0,4,1
UL01RL21,LB,HB_LB,0,1,0
UL01RL21,LB,HB_LB,0,2,1
UL01RL21,LB,HB_LB,0,3,1
UL01RL21,LB,HB_LB,0,4,1
UL22ON24,HB,LB_HB,1,1,3
UL22ON24,HB,LB_HB,1,2,3
UL22ON24,HB,LB_HB,1,3,4
UL22ON24,HB,LB_HB,1,4,3
UL22ON24,LB,LB_HB,0,1,0
UL22ON24,LB,LB_HB,0,2,0
UL22ON24,LB,LB_HB,0,3,1
UL22ON24,LB,LB_HB,0,4,2
UR31EM17,HB,LB_HB,2,1,3
UR31EM17,HB,LB_HB,2,2,4
UR31EM17,HB,LB_HB,2,3,4
UR31EM17,HB,LB_HB,2,4,4
UR31EM17,LB,LB_HB,0,1,2
UR31EM17,LB,LB_HB,0,2,2
UR31EM17,LB,LB_HB,0,3,3
UR31EM17,LB,LB_HB,0,4,3
